transaction_id,user_id,transaction_amount,transaction_timestamp,user_location,merchant_location,merchant_category,device_id,device_type,payment_method,account_balance,transaction_status,ip_address,hour,day,is_fraud
TXN-EECCDCB9905F,USR0004,5659.859060974421,2024-04-21 09:29:37.000000,45,12,6,132,2,3,0.0,success,1073,9,6,0
TXN-F2FBB1DD9D91,USR0040,7825.369565788999,2024-04-07 19:03:19.000000,60,37,12,44,0,0,0.0,failed,296,19,6,1
TXN-6ED2C063DECE,USR0051,439.95140562750447,2024-05-24 04:11:05.000000,62,39,1,46,0,0,73726.38,success,884,4,4,0
TXN-7A7F208E368F,USR0071,4935.69,2024-05-08 18:58:51.000000,33,21,3,84,1,4,27587.71,success,600,18,2,0
TXN-1A9135A3CF16,USR0055,2028.5107198713692,2024-03-19 14:45:19.000000,61,19,2,57,1,3,154694.84,success,1290,14,1,0
TXN-EC291BC93CEE,USR0012,1680.0,2024-04-03 12:58:55.823130,43,8,4,39,0,3,6018.74,success,345,12,2,0
TXN-7D7987651B9A,USR0012,1825.91,2024-05-05 02:34:43.000000,27,38,12,39,2,2,0.0,success,354,2,6,0
TXN-7787C9FC1D78,USR0039,11497.202120571128,2024-01-19 15:34:26.284642,33,21,7,204,2,2,97072.39,success,430,15,4,0
TXN-13955A6B51C9,USR0025,6564.279558668339,2024-04-10 03:28:41.000000,33,21,1,50,0,2,79926.4,success,1125,3,2,0
TXN-B4CD123FD672,USR0078,8290.453891272373,2024-01-15 13:56:50.000000,43,42,4,180,0,3,46861.9,success,499,13,0,0
TXN-CAA0AE9D8E53,USR0079,7535.88,2024-04-16 19:38:29.000000,62,23,5,72,2,0,90047.88,success,110,19,1,0
TXN-079A8469C159,USR0077,1887.186981937342,2024-03-20 05:58:11.145606,46,43,9,162,1,3,48148.35,success,1247,5,2,0
TXN-2CE7727D8B0C,USR0068,1493.54,2024-01-11 22:26:57.000000,29,38,2,193,0,3,3908.43,success,31,22,3,0
TXN-4D5FBC01A8FF,USR0061,819.4590564494981,2024-05-01 13:52:46.000000,29,18,1,153,2,2,94965.26,success,95,13,2,0
TXN-F66ADADDD933,USR0004,9037.29,2024-04-21 04:18:12.000000,41,12,12,132,2,0,0.0,failed,1074,4,6,1
TXN-94404DDD7612,USR0025,4234.601706134168,2024-04-05 00:33:19.207446,14,22,3,50,0,3,108805.9,success,1112,0,4,0
TXN-7923B7F8A584,USR0079,742.0,2024-04-06 22:33:00.000000,62,39,2,223,1,1,139136.87,success,114,22,5,0
TXN-E5042440CC39,USR0075,3037.9500664799402,2024-04-21 00:00:00.000000,45,12,3,199,1,0,139166.51,failed,1012,0,6,1
TXN-2319987DBA60,USR0020,5629.7,2024-03-27 19:21:00.000000,62,39,6,223,1,2,124333.76,success,1230,19,2,0
TXN-6908DFB1AE00,USR0052,2379.113002413968,2024-02-22 13:24:44.000000,41,25,4,68,1,1,174557.45,success,386,13,3,0
TXN-B4CAAE8D3BFE,USR0012,23581.85,2024-03-19 08:42:14.000000,68,26,3,187,2,0,0.0,success,352,8,1,0
TXN-8D79241FAA55,USR0035,7073.260301829298,2024-02-18 12:55:29.520985,34,24,4,197,1,3,138776.11,success,827,12,6,0
TXN-48555702D12E,USR0031,4480.648183815599,2024-02-20 23:04:51.045072,4,4,3,146,2,1,183905.68,success,1290,23,1,0
TXN-9DFE1EFFDEB1,USR0042,2347.5,2024-05-24 10:37:06.000000,69,32,9,170,2,1,57834.69,success,1162,10,4,0
TXN-E95E0A76E61E,USR0074,6145.947242813789,2024-02-14 13:02:26.000000,62,39,7,166,0,0,30341.98,success,1104,13,2,0
TXN-E8333D1E96ED,USR0001,516.36,2024-04-05 02:12:00.000000,47,29,3,177,0,0,56423.09,pending,857,2,4,0
TXN-62BE30587ECA,USR0035,6480.067639344244,2024-02-11 07:21:21.000000,61,17,4,197,1,2,174496.29,success,1290,7,6,0
TXN-D014D0430E9B,USR0069,2347.7209736185287,2024-02-24 21:32:14.000000,39,41,5,148,0,3,121254.88,success,911,21,5,0
TXN-950664A157AE,USR0050,5478.571300148107,2024-06-15 00:00:00.000000,33,20,6,165,0,2,83237.06,success,773,0,5,0
TXN-320F73043FC9,USR0008,716.632365664951,2024-04-05 12:44:05.000000,18,29,6,189,1,2,45793.96,failed,667,12,4,1
TXN-906872520C25,USR0015,3332.0230952051616,2024-03-12 22:13:21.000000,39,23,8,138,2,0,40823.03,success,513,22,1,0
TXN-EB68058DC0A0,USR0020,8473.215898321623,2024-04-23 08:10:00.910855,31,21,3,49,1,1,52040.04,success,1290,8,1,0
TXN-0E71EF84C6E7,USR0015,5803.3695796793945,2024-04-04 13:30:45.414384,37,41,6,138,1,0,6177.26,success,1288,13,3,0
TXN-3687803AB802,USR0059,1682.5920441498774,2024-03-13 18:15:22.000000,16,10,1,124,1,2,68661.03,success,302,18,2,0
TXN-DD550AB2B0D1,USR0037,4845.14,2024-02-10 17:17:39.000000,31,39,12,95,1,1,86027.5,success,817,17,5,0
TXN-0403C433903E,USR0041,695.0,2024-02-18 04:13:22.933755,39,41,1,161,2,3,118109.53,success,1290,4,6,0
TXN-92A513504A9A,USR0030,1817.69,2024-06-01 12:45:59.000000,14,22,7,35,2,1,15809.41,success,21,12,5,0
TXN-F4552914AEA6,USR0055,3410.9358804359135,2024-04-06 22:04:48.000000,27,19,5,57,1,1,131787.9,success,655,22,5,0
TXN-4107B99A1898,USR0016,1141.5366197816643,2024-03-04 00:00:00.000000,20,37,8,185,0,3,33659.87,success,371,0,0,0
TXN-7328704A8992,USR0018,3970.180240649178,2024-01-25 19:34:14.000000,33,20,8,143,1,2,58751.92,success,141,19,3,0
TXN-BD24BAF78EAE,USR0052,2306.7,2024-03-23 08:05:47.000000,13,25,2,68,2,2,133902.47,failed,394,8,5,1
TXN-4150FCE77C91,USR0070,8727.904910170122,2024-04-09 08:15:30.995349,46,8,10,61,1,3,127016.95,success,927,8,1,0
TXN-B8C2CBA7CE7E,USR0012,2454.069454006413,2024-04-15 19:11:31.503846,43,8,9,39,2,3,1768.9,failed,341,19,0,1
TXN-0ED6FA63C38E,USR0048,4268.1221819237335,2024-02-01 01:39:00.000000,59,20,12,183,0,2,27282.59,success,73,1,3,0
TXN-734F0336FE2A,USR0055,2729.066682506602,2024-03-30 06:30:12.000000,29,17,4,57,1,3,142482.98,success,659,6,5,0
TXN-41EDDF260CD4,USR0074,4336.52,2024-03-15 23:08:43.000000,1,21,10,9,0,3,68661.03,success,1285,23,4,0
TXN-4B073E64CA66,USR0011,1178.52,2024-01-02 08:31:00.000000,49,30,1,100,0,0,0.0,success,1270,8,1,0
TXN-1E0EA32DD4DC,USR0025,9702.03,2024-05-26 18:26:05.000000,0,9,4,2,0,1,2858.64,success,6,18,6,0
TXN-E3E81B7A2FAB,USR0039,9190.45416508176,2024-01-29 03:41:00.000000,62,21,6,217,1,2,2198.41,success,1263,3,0,0
TXN-8F9B5C9B14CD,USR0059,1448.5288,2024-03-09 12:06:06.000000,41,12,2,94,1,3,191245.66,success,309,12,5,0
TXN-70E67569138E,USR0023,7106.7335,2024-02-01 00:00:00.000000,66,23,7,137,0,2,0.0,success,567,0,3,0
TXN-986EFB100140,USR0041,722.3972814545424,2024-02-18 00:00:00.000000,47,13,1,131,2,3,117387.13,success,966,0,6,0
TXN-EE4224BDB7AF,USR0033,3691.8605930499307,2024-02-07 18:37:34.565783,0,0,9,196,1,3,177866.52,success,330,18,2,0
TXN-28B3834385D5,USR0018,0.0,2024-02-28 06:04:10.000000,2,27,9,5,2,3,45778.37,success,1273,6,2,0
TXN-97973CCA097A,USR0048,6190.244091883042,2024-02-07 00:16:50.388854,13,27,8,183,1,2,11946.2,success,77,0,2,0
TXN-EB460262B05C,USR0025,9554.0091,2024-04-11 14:50:23.000000,39,24,4,202,0,0,52462.34,success,1117,14,3,0
TXN-7332338C8248,USR0075,3259.99,2024-04-22 15:48:47.584647,13,23,1,199,1,0,135906.51,success,1008,15,0,0
TXN-5D155B261976,USR0023,11004.74728073396,2024-02-17 09:03:52.000000,66,24,4,89,0,0,0.0,success,552,9,5,0
TXN-DDB8B3C8B883,USR0050,5305.0,2024-06-22 08:26:37.000000,31,20,9,165,0,2,65179.53,success,768,8,5,0
TXN-CAE3CEF0784C,USR0044,2957.23,2024-03-24 14:32:00.000000,31,21,12,164,2,2,155891.38,success,1086,14,6,0
TXN-240B916A1E4B,USR0043,147.6352912762922,2024-06-01 06:11:00.000000,17,34,3,88,0,2,123122.95,success,1290,6,5,0
TXN-71A3D3C11535,USR0018,4490.3696653367915,2024-01-19 10:03:59.304156,62,20,9,143,2,2,87303.57,success,143,10,4,0
TXN-754DC1BE827B,USR0027,5694.079446540004,2024-05-12 17:30:11.000000,11,42,3,191,1,3,25584.56,success,443,17,6,0
TXN-A297229F0153,USR0041,865.2664493113584,2024-02-15 08:57:26.000000,66,41,6,131,2,3,119530.69,success,976,8,3,0
TXN-CF583A5E9DB3,USR0069,2009.92,2024-02-20 06:15:08.082670,37,24,6,117,2,3,124499.6,success,908,6,1,0
TXN-3BC51BCDBDB8,USR0075,3356.8681873675223,2024-03-31 21:38:44.000000,16,25,8,199,1,0,175783.36,success,1000,21,6,0
TXN-7D5B9E0D9718,USR0075,4083.9588498975654,2024-04-11 22:33:58.000000,45,27,7,199,2,2,156515.79,success,1007,22,3,0
TXN-E9A64F251528,USR0017,2840.4169235275053,2024-03-27 06:56:35.098911,63,40,6,159,0,2,46583.39,success,455,6,2,0
TXN-ACCFEE13F686,USR0063,4167.93,2024-03-12 06:24:00.000000,0,1,9,203,1,1,117549.23,success,53,6,1,0
TXN-7C70E7EB6999,USR0009,930.3462410992847,2024-02-13 15:45:40.000000,63,11,5,206,1,0,97361.27,success,17,15,1,0
TXN-716BAD965EC0,USR0063,3666.0,2024-03-15 07:59:00.000000,63,40,6,91,0,3,111163.14,success,60,7,4,0
TXN-4364823D53C7,USR0056,2286.02,2024-04-14 22:40:33.060733,29,19,2,200,2,1,174529.87,success,977,22,6,0
TXN-E6D302890510,USR0038,5825.41166814319,2024-04-01 06:21:57.090832,37,34,3,175,1,2,0.0,pending,281,6,0,0
TXN-C0866270A745,USR0057,1289.27,2024-01-30 02:38:00.000000,43,43,4,45,2,1,36428.44,success,315,2,1,0
TXN-6C48FEAB8423,USR0055,1097.8112145310938,2024-04-03 01:20:44.000000,29,17,3,57,0,3,139531.37,failed,658,1,2,1
TXN-D392F62FAE94,USR0034,9591.131232575024,2024-05-29 07:05:12.000000,68,42,4,108,2,0,152687.17,success,225,7,2,0
TXN-5E22667CEB57,USR0077,1829.603273618352,2024-03-15 17:43:32.421574,68,4,12,78,0,1,59121.79,success,1252,17,4,0
TXN-AEDC46E50C49,USR0001,412.61338206207245,2024-04-18 01:12:29.197589,18,22,3,177,0,0,52707.78,success,848,1,3,0
TXN-8D1891B45684,USR0065,2446.461952498365,2024-03-16 19:59:12.062567,13,36,9,223,1,4,35307.28,success,150,19,5,0
TXN-0C19294A1EE0,USR0025,6101.89,2024-04-07 02:01:01.000000,34,40,8,74,1,0,102704.01,success,1108,2,6,0
TXN-DA0A04F01FD8,USR0072,6667.08,2024-06-15 12:47:08.217812,62,21,2,75,0,2,96181.92,success,192,12,5,0
TXN-766AF827112E,USR0056,2930.06,2024-04-23 00:00:00.000000,23,18,1,200,1,2,164250.71,success,981,0,1,0
TXN-710399B86F88,USR0051,445.04474153343915,2024-05-14 07:29:14.000000,31,20,8,163,2,3,76188.33,success,879,7,1,0
TXN-EC81BB70AD98,USR0044,3758.5693245272287,2024-03-15 18:36:00.000000,62,20,4,164,2,0,175254.83,success,1091,18,4,0
TXN-655DB0872C1D,USR0013,6621.808751413823,2024-06-18 08:11:46.000000,39,24,6,64,1,2,0.0,success,727,8,1,0
TXN-431E118C90D1,USR0003,275.3640906864508,2024-05-31 16:25:42.000000,36,24,2,81,1,3,36726.43,failed,165,16,4,1
TXN-7016511F03AE,USR0061,2294.14,2024-04-21 23:00:57.000000,29,11,12,153,2,0,99392.72,success,87,23,6,0
TXN-5E5823518181,USR0046,11542.49212491253,2024-02-16 18:59:26.000000,41,36,3,181,1,1,0.0,success,738,18,4,0
TXN-30927715FAD2,USR0008,560.3292513511853,2024-03-27 01:31:43.000000,20,29,4,189,1,2,48246.34,success,671,1,2,0
TXN-2FB8BE9F64AE,USR0012,2421.0,2024-05-02 06:57:50.316719,43,42,1,39,2,4,0.0,success,360,6,3,0
TXN-FC51C2FA1732,USR0039,7954.76,2024-01-29 09:44:00.000000,56,0,7,204,1,2,25153.09,success,426,9,0,0
TXN-61220A2F25EB,USR0033,1815.301078164518,2024-02-11 13:05:32.514705,1,1,8,104,1,4,177866.52,failed,335,13,6,1
TXN-7C1E8FA055DC,USR0060,5403.394798487688,2024-02-07 03:27:00.000000,50,11,7,99,2,2,14395.73,success,747,3,2,0
TXN-0CAD73EEE929,USR0073,8250.87,2024-05-20 18:50:00.000000,57,34,2,71,0,0,0.0,success,1051,18,0,0
TXN-405D50B1A496,USR0041,463.4985961963335,2024-02-04 15:24:02.660371,66,24,1,131,2,1,123853.32,success,971,15,6,0
TXN-7AC27F080E90,USR0074,1420.71,2024-02-06 07:33:06.000000,33,39,4,223,0,2,50232.23,success,1099,7,1,0
TXN-3FD611062E62,USR0017,838.8,2024-03-18 23:48:00.000000,12,11,5,141,1,2,85880.05,success,456,23,0,0
TXN-3EAF5ABAB4CE,USR0028,2470.733173197928,2024-03-29 17:23:04.000000,68,43,9,66,0,2,153329.28,success,1021,17,4,0
TXN-710E98D45B16,USR0076,6160.743850935096,2024-05-08 22:02:00.837722,2,32,4,116,0,1,0.0,success,206,22,2,0
TXN-8D585874A007,USR0032,2981.910153338882,2024-04-02 21:14:43.399574,60,37,8,54,1,0,39750.77,failed,942,21,1,1
TXN-CB2F1E31C3AE,USR0062,6786.834942422122,2024-02-25 03:23:58.113546,54,31,1,90,0,4,84729.94,success,1128,3,6,0
TXN-4D603874F4BC,USR0036,3623.39,2024-02-23 23:04:45.000000,45,12,2,80,0,3,79260.23,failed,811,23,4,1
TXN-8A81AF410A91,USR0009,6017.800504842885,2024-02-03 05:45:05.000000,34,40,1,123,2,3,117228.5,success,1203,5,5,0
TXN-C4B603217CB8,USR0079,5752.185009113819,2024-04-11 13:44:16.676024,33,39,5,223,1,0,120224.78,success,123,13,3,0
TXN-F1EFC2D30AAE,USR0024,4771.06,2024-05-18 02:53:00.000000,7,7,2,223,0,3,184864.43,success,700,2,5,0
TXN-7DADD7A8A7F7,USR0049,752.007997693898,2024-04-26 19:31:52.598050,41,12,9,147,1,1,66148.81,success,490,19,4,0
TXN-9CE6A1E054B0,USR0052,3749.6924517353787,2024-03-01 17:10:08.000000,59,10,0,223,1,1,164260.73,success,393,17,4,0
TXN-E6B41100A7AE,USR0040,5957.458442578099,2024-04-06 20:30:44.000000,47,14,10,44,0,0,0.0,success,297,20,5,0
TXN-97F9B88B6763,USR0079,104680.62,2024-04-12 20:54:58.000000,33,21,9,72,1,0,41607.48,success,109,20,4,0
TXN-A43B718B1B59,USR0077,1932.8131145119924,2024-03-22 22:20:55.000000,68,8,10,162,2,4,43278.69,success,1256,22,4,0
TXN-447DD3D0EC57,USR0023,9739.49,2024-06-09 00:00:00.000000,66,23,3,137,0,1,0.0,success,546,0,6,0
TXN-A580BBFEB141,USR0038,4331.98008248605,2024-03-14 20:33:48.000000,66,23,1,60,1,2,4931.76,success,285,20,3,0
TXN-D02E65384576,USR0052,2342.257766866463,2024-02-19 13:21:31.000000,13,10,4,68,1,1,176937.56,success,399,13,0,0
TXN-9365FD2305B9,USR0068,1411.45,2024-01-04 21:12:15.000000,34,22,3,144,2,0,12600.23,success,44,21,3,0
TXN-BC8837FA5708,USR0069,1628.336114678946,2024-02-16 09:29:59.000000,37,24,12,117,0,0,132153.54,success,910,9,4,0
TXN-19A8CA392CEC,USR0079,7954.842880389731,2024-04-11 17:44:18.371676,62,39,6,120,2,0,112269.94,success,1290,17,3,0
TXN-00714C5049CD,USR0070,2339.53,2024-04-02 14:42:44.000000,11,23,7,61,1,3,159284.86,success,929,14,1,0
TXN-458A536EAEB9,USR0028,738.5189852647627,2024-03-24 01:19:47.107873,68,42,8,63,0,2,162493.11,success,1026,1,6,0
TXN-5878B2D57BD9,USR0026,1142.785444168505,2024-06-13 14:53:41.000000,69,32,6,154,1,0,86081.44,success,1290,14,3,0
TXN-654282C24F5F,USR0048,4836.453302801979,2024-01-31 05:24:19.000000,45,34,7,183,0,0,36617.98,success,75,5,2,0
TXN-2037C22CD34A,USR0025,5319.5009,2024-03-28 15:03:54.000000,34,11,4,202,0,0,68661.03,success,1120,15,3,0
TXN-F4DED8F9A827,USR0040,5549.758724049497,2024-04-01 19:37:04.396300,47,15,9,44,2,0,20840.13,success,1289,19,0,0
TXN-8030C8CF2E78,USR0005,7076.386144209511,2024-03-09 17:07:41.021488,29,19,4,130,1,3,1230.2,success,1220,17,5,0
TXN-0D16C94E177D,USR0038,7622.99,2024-03-13 00:34:58.827911,64,23,8,60,1,2,9263.74,success,276,0,2,0
TXN-B29C8027258F,USR0011,2728.37849144499,2024-03-15 20:11:00.000000,10,5,8,37,0,0,25667.28,success,1198,20,4,0
TXN-0C6BF7F6B2A8,USR0032,1178.69,2024-04-04 10:56:34.776181,60,29,7,54,2,0,37794.39,pending,934,10,3,0
TXN-A77AA1B67A6C,USR0045,7457.0,2024-01-12 14:21:55.812064,1,34,4,145,0,2,68661.03,failed,630,14,4,1
TXN-312CC9C500D4,USR0063,1731.7056107645508,2024-03-17 00:00:00.000000,12,11,2,149,1,0,103772.87,success,67,0,6,0
TXN-D2E99DF5B626,USR0074,5300.333147003685,2024-02-07 09:37:00.000000,62,21,12,166,0,2,42166.25,success,1103,9,2,0
TXN-66ECD0F93E65,USR0041,404.73,2024-02-09 17:44:38.000000,54,44,2,161,2,3,123448.59,success,972,17,4,0
TXN-7018DB4D42FB,USR0032,1678106.56,2024-04-07 00:06:36.000000,60,15,7,54,2,4,33045.63,success,936,0,6,0
TXN-8ADBE77DEA28,USR0072,9871.11096367115,2024-06-15 14:13:20.035698,31,20,4,115,0,3,96181.92,failed,191,14,5,1
TXN-0931CB8D1B67,USR0062,7145.50510817509,2024-02-27 21:30:36.155151,69,31,3,90,0,2,80972.03,failed,1140,21,1,1
TXN-CFCA28E54985,USR0077,2334.2250754094994,2024-03-17 22:34:22.000000,46,43,4,162,2,1,54579.45,pending,1258,22,6,0
TXN-2F8D1816E1B2,USR0027,6760.179505307302,2024-05-12 00:23:51.007872,46,43,5,191,1,3,31278.64,success,437,0,6,0
TXN-22F4A0BF63B1,USR0069,931.2690412203751,2024-02-16 05:41:01.000000,37,24,9,117,1,2,135573.01,success,897,5,4,0
TXN-6E52F9217AEC,USR0045,4.22,2024-03-27 06:58:30.000000,56,1,12,21,0,0,51743.22,success,629,6,2,0
TXN-8420244A836E,USR0044,0.0,2024-03-19 05:32:42.000000,62,21,8,164,2,3,166936.69,success,1087,5,1,0
TXN-127ED6AA4445,USR0008,540.0,2024-03-24 00:00:00.000000,18,37,5,189,1,2,49440.16,failed,670,0,6,1
TXN-A70924175852,USR0023,9949.67,2024-06-09 12:06:00.000000,37,24,3,137,0,2,0.0,success,572,12,6,0
TXN-48F56D699318,USR0079,6488.288532356429,2024-04-16 22:47:44.561652,33,20,8,120,2,0,83559.59,success,1289,22,1,0
TXN-7B9815F70C59,USR0060,8769.7,2024-02-05 23:26:37.000000,29,17,3,121,2,2,25446.11,success,764,23,0,0
TXN-DC861F0AEB65,USR0033,2120.0211016116878,2024-02-21 20:56:12.000000,56,1,6,104,1,2,167457.56,success,333,20,2,0
TXN-7AC2CCB86DE6,USR0027,5142.865887395275,2024-05-30 21:46:05.998902,46,26,1,191,0,2,0.0,success,439,21,3,0
TXN-9C857C81E79B,USR0061,2155.6587236940163,2024-03-27 20:17:34.000000,27,17,9,153,2,0,134491.36,success,83,20,2,0
TXN-43F975290E48,USR0066,6389.46,2024-01-17 20:54:06.278622,27,38,2,110,2,2,123843.19,success,646,20,2,0
TXN-79D7F01D1281,USR0027,5279.238900340693,2024-05-13 00:32:03.000000,67,42,9,191,0,2,20305.32,success,447,0,0,0
TXN-4BC8643638D8,USR0013,10709.633405604141,2024-05-29 00:00:00.000000,39,24,1,64,2,3,46293.94,success,734,0,2,0
TXN-EFD2A8859B37,USR0011,2811.1,2024-03-09 03:35:07.000000,57,5,1,37,0,0,51746.08,success,1190,3,5,0
TXN-BB1279FD9D2F,USR0037,2090.286019105047,2024-02-03 14:03:02.000000,62,21,8,95,0,1,94751.07,pending,815,14,5,0
TXN-AF296E653D8E,USR0050,2666.7552391780837,2024-06-10 03:18:29.000000,33,21,11,165,0,2,114376.84,failed,774,3,0,1
TXN-F8B9AFA6FEEB,USR0021,3832.42,2024-02-13 21:18:55.000000,10,31,1,127,0,2,152999.74,success,1173,21,1,0
TXN-6F96E1460CD0,USR0021,4533.0,2024-03-09 21:49:19.278776,3,3,3,171,0,2,116932.82,success,1180,21,5,0
TXN-249221499DAE,USR0032,1666.92,2024-04-15 11:49:24.418949,31,20,7,195,0,0,18938.61,success,933,11,0,0
TXN-2DCFEB559D9A,USR0038,3641.7,2024-04-01 03:25:15.552190,37,24,2,175,1,2,0.0,success,282,3,0,0
TXN-75B5C4FF1EEA,USR0026,4194.679627077066,2024-06-08 19:21:32.000000,50,31,12,154,1,0,98903.86,success,368,19,5,0
TXN-C6AF05C6185C,USR0034,9332.37823849909,2024-06-04 12:17:43.000000,67,4,4,108,2,1,121851.67,success,218,12,1,0
TXN-E90E4349A9B8,USR0047,1770.5760359018695,2024-05-25 11:44:46.218978,31,20,8,101,1,1,55547.4,success,406,11,5,0
TXN-2B2F28098CDF,USR0055,1686.7644800017094,2024-04-04 21:08:50.000000,23,17,5,57,1,3,68661.03,success,661,21,3,0
TXN-92406A063422,USR0006,6444.2702,2024-06-21 15:24:03.000000,50,44,9,192,0,0,85017.17,success,876,15,4,0
TXN-E22C2FEE63DD,USR0053,1364.3999122205687,2024-05-11 01:07:03.544858,17,14,4,126,1,0,92143.61,success,694,1,5,0
TXN-27F0ADA72618,USR0045,9165.478506161786,2024-01-16 05:51:00.000000,1,0,6,145,0,2,114595.86,success,623,5,1,0
TXN-D87E1E7DE353,USR0078,55918.36,2024-04-18 04:24:00.000000,50,44,1,48,0,2,0.0,success,502,4,3,0
TXN-74AA912DA022,USR0074,1.0,2024-02-17 10:13:43.520998,43,4,9,166,0,1,30340.98,success,1092,10,5,0
TXN-77943A53C3FE,USR0071,4211.5574316314805,2024-03-19 17:33:00.298190,31,20,4,84,1,3,34488.06,success,589,17,1,0
TXN-0424CFA91A76,USR0075,1301.677916881147,2024-04-20 06:23:40.000000,41,27,4,223,1,0,144177.86,success,1011,6,5,0
TXN-47845B0D761A,USR0047,2332.53,2024-06-07 04:01:32.000000,31,21,4,101,1,1,42034.84,success,415,4,4,0
TXN-B8667226CF71,USR0058,3246.93,2024-06-24 13:55:24.000000,12,9,5,135,1,2,117022.52,success,1290,13,0,0
TXN-09F0B7EC9105,USR0041,1098.6,2024-02-03 19:24:14.795973,39,41,5,65,2,1,124317.82,success,968,19,5,0
TXN-9B90AA64CB54,USR0068,1296.15,2024-02-04 17:16:59.000000,27,18,4,193,2,4,0.0,success,49,17,6,0
TXN-2DC8B8A61A5B,USR0022,1714.4121136314616,2024-02-23 09:25:49.000000,11,43,1,62,1,0,67806.63,failed,1040,9,4,1
TXN-89E53A1EC678,USR0077,3004.7772,2024-03-01 07:53:40.000000,46,8,4,194,0,2,76391.76,success,1241,7,4,0
TXN-195D666F2B35,USR0066,5820.48,2024-01-01 14:53:24.843316,61,38,9,223,0,0,153957.92,success,645,14,0,0
TXN-2F6D51D4A6CC,USR0008,798.92,2024-04-13 08:04:53.000000,17,37,2,189,1,2,42352.56,success,673,8,5,0
TXN-C9C24751DAD0,USR0074,4313.622507367525,2024-02-20 05:42:28.000000,57,2,8,69,0,0,21754.82,success,1094,5,1,0
TXN-EE753A416816,USR0078,11425.68,2024-02-03 00:00:00.000000,46,34,10,48,2,2,151.85,success,493,0,5,0
